ca	en	es	kind	flag	source
aprendre	to learn		mot		beveradb-1000
aprimar-se	to lose weight		mot		beveradb-1000
apuntar-se	to enroll		mot		beveradb-1000
aquell aquella	that		frase		beveradb-1000
aquest aquesta	this		frase		beveradb-1000
aquest pis	this floor/apartment		frase		beveradb-1000
aquí (mateix)	(right) here		frase	optional-part	beveradb-1000
ara	now		mot		beveradb-1000
arquitecte	architect		mot		beveradb-1000
arreglar	to fix		mot		beveradb-1000
arrisat arrisada	curly-haired		frase		beveradb-1000
atractiu atractiva	attractive		frase		beveradb-1000
Austràlia	Australia		mot		beveradb-1000
avall	downwards		mot		beveradb-1000
avorrit avorrida	boring		frase		beveradb-1000
avui	today		mot		beveradb-1000
aïllat aïllada	isolated		frase		beveradb-1000
baix baixa	small		frase		beveradb-1000
baixar per	to go down		frase		beveradb-1000
ballar	to dance		mot		beveradb-1000
banyar-se	to bathe		mot		beveradb-1000
barat barata	cheap		frase		beveradb-1000
ben	very		mot		beveradb-1000
beure	to drink		mot		beveradb-1000
blanc blanca	white		frase		beveradb-1000
blau blava	blue		frase		beveradb-1000
bo bona	good		frase		beveradb-1000
bon dia	good morning		frase		beveradb-1000
bona nit	good night		frase		beveradb-1000
bona tarda	good afternoon		frase		beveradb-1000
boníssim boníssima	very good		frase		beveradb-1000
brut bruta	dirty, gross (i.e. not net )		frase		beveradb-1000
buscar	to look for		mot		beveradb-1000
cada	each		mot		beveradb-1000
cada dia	every day		frase		beveradb-1000
caldre	to be necessary, to be right		mot		beveradb-1000
calent calenta	hot		frase		beveradb-1000
cambrer cambrera	waiter, waitress		frase		beveradb-1000
caminar	to walk		mot		beveradb-1000
canadà	canada		mot		beveradb-1000
cansat cansada	tiring tired		frase		beveradb-1000
canviar	to change		mot		beveradb-1000
cap	any		mot		beveradb-1000
cap a	towards		frase		beveradb-1000
capaç	able, capable		mot		beveradb-1000
car cara	expensive		frase		beveradb-1000
carter cartera	mailman		frase		beveradb-1000
casa seva	his house		frase		beveradb-1000
català	Catalan		mot		beveradb-1000
catorze / catorzè	14 fourteenth		frase		beveradb-1000
caure malament	to be disagreeable		frase		beveradb-1000
cent / centè	100 hundredth		frase		beveradb-1000
cinc / cinquè cinquena	5 fifth		frase		beveradb-1000
cinquanta / cinquantà	50 fiftieth		frase		beveradb-1000
ciutat	city		mot		beveradb-1000
clar clara	light colored		frase		beveradb-1000
com a mínim	at least		frase		beveradb-1000
com estàs? com està?	how are you?		frase		beveradb-1000
com et dius? com es diu?	what's your name?		frase		beveradb-1000
com que	as		frase		beveradb-1000
com s'escriu això?	how do you write it?		frase		beveradb-1000
com s'hi va?	how do I get there?		frase		beveradb-1000
com sempre	as usual		frase		beveradb-1000
comarcal	local district		mot		beveradb-1000
començar	begin		mot		beveradb-1000
començar a la feina	to start work		frase		beveradb-1000
comprar	to buy		mot		beveradb-1000
com… no hi ha res	there's nothing like…		frase		beveradb-1000
content contenta	happy		frase		beveradb-1000
continuar per	to continue		frase		beveradb-1000
conèixe't	to meet you		mot		beveradb-1000
crec	I believe		mot		beveradb-1000
crec que…	I believe that…		frase		beveradb-1000
cru crua	raw		frase		beveradb-1000
cuit cuita	well-cooked		frase		beveradb-1000
curt curta	short		frase		beveradb-1000
còmode còmoda	comfortable		frase		beveradb-1000
d'acord	ok		mot		beveradb-1000
d'aqui a dos dies	in two days		frase		beveradb-1000
d'on ets?	where are you from?		frase		beveradb-1000
dalt	above		mot		beveradb-1000
darrerament	lately		mot		beveradb-1000
darrere	behind		mot		beveradb-1000
davant	in front		mot		beveradb-1000
de	of, from, about		mot		beveradb-1000
de bon humor	in a good mood		frase		beveradb-1000
de conjunt	together		frase		beveradb-1000
de debò	really		frase		beveradb-1000
de la casa	home-made		frase		beveradb-1000
de mal humor	in a bad mood		frase		beveradb-1000
de petit petita	when I was young		frase		beveradb-1000
de res	you're welcome		frase		beveradb-1000
de tot	of all		frase		beveradb-1000
dedicar-se	to be occupied		mot		beveradb-1000
deixar	to leave		mot		beveradb-1000
del	of the		mot		beveradb-1000
demà	tomorrow		mot		beveradb-1000
demà passat	the day after tomorrow		frase		beveradb-1000
dependre	to depend		mot		beveradb-1000
des de	since		frase		beveradb-1000
des que	since		frase		beveradb-1000
desanimat desanimada	discouraged		frase		beveradb-1000
desembre	December		mot		beveradb-1000
desmotivat desmotivada	dispirited		frase		beveradb-1000
despertar-se	to wake up		mot		beveradb-1000
després	then		mot		beveradb-1000
deu / desè desena	10 tenth		frase		beveradb-1000
deure	may, might, must		mot		beveradb-1000
digui	hello		mot		beveradb-1000
dijous	Thursday		mot		beveradb-1000
dilluns	Monday		mot		beveradb-1000
dimarts	Tuesday		mot		beveradb-1000
dimecres	Wednesday		mot		beveradb-1000
dinar	to have lunch		mot		beveradb-1000
dinou / dinovè	19 nineteenth		frase		beveradb-1000
dins	inside		mot		beveradb-1000
dir-se	to be called		mot		beveradb-1000
disparar-se	to disappear		mot		beveradb-1000
disponible	available		mot		beveradb-1000
dissabte	Saturday		mot		beveradb-1000
disset /dissetè	17 seventeenth		frase		beveradb-1000
diumenge	Sunday		mot		beveradb-1000
divendres	Sriday		mot		beveradb-1000
divertit divertida	amusing, funny		frase		beveradb-1000
divuit	eighteen		mot		beveradb-1000
divuit / divuitè	18 eighteenth		frase		beveradb-1000
doncs	well		mot		beveradb-1000
dormir	to sleep		mot		beveradb-1000
dos dues / segon segona	2 second		frase		beveradb-1000
dotze / dotzè	12 twelveth		frase		beveradb-1000
dur	to wear out		mot		beveradb-1000
durant	during		mot		beveradb-1000
dutxar-se	to shower		mot		beveradb-1000
dòlar	dollar		mot		beveradb-1000
econòmic econòmica	cheap		frase		beveradb-1000
el bany	bathroom		frase		beveradb-1000
el bar	bar		frase		beveradb-1000
el barri	neighborhood		frase		beveradb-1000
el berenar	snack		frase		beveradb-1000
el bistec	steak		frase		beveradb-1000
el bitllet	ticket		frase		beveradb-1000
el bolet	mushroom		frase		beveradb-1000
el botiguer la botiguera	salesman		mot	m-f-pair	beveradb-1000
el bou	beef		frase		beveradb-1000
el braç	arm		frase		beveradb-1000
el cabell	hair		frase		beveradb-1000
el cafè	coffee		frase		beveradb-1000
el cafè amb llet	coffee with milk		frase		beveradb-1000
el caixer automàtic	atm, bank machine		frase		beveradb-1000
el camp	field		frase		beveradb-1000
el campionat	championship		frase		beveradb-1000
el cap de setmana	weekend		frase		beveradb-1000
el carnet d'identitat	identity card		frase		beveradb-1000
el carnet de conduir	driving license		frase		beveradb-1000
el cava	sparkling wine		frase		beveradb-1000
el cavall	horse		frase		beveradb-1000
el cognom	last name		frase		beveradb-1000
el coll	neck throat		frase		beveradb-1000
el colze	elbow		frase		beveradb-1000
el compte	account		frase		beveradb-1000
el conill	rabbit		frase		beveradb-1000
el cop	knock		frase		beveradb-1000
el correu electrònic	email		frase		beveradb-1000
el cosí la cosina	cousin		mot	m-f-pair	beveradb-1000
el cotxe	car		frase		beveradb-1000
el creuer	cruise		frase		beveradb-1000
el curs de formació	training course		frase		beveradb-1000
el curset	short course		frase		beveradb-1000
el cèntim	cent		frase		beveradb-1000
el dia feiner	work day		frase		beveradb-1000
el diari	newspaper		frase		beveradb-1000
el dinar	lunch		frase		beveradb-1000
el diner	money		frase		beveradb-1000
el dipòsit	tank		frase		beveradb-1000
el dit	finger		frase		beveradb-1000
el dolor	painter		frase		beveradb-1000
el domini	command		frase		beveradb-1000
el dret	right (human right, etc)		frase		beveradb-1000
el fill	son		frase		beveradb-1000
el final de tot	top end		frase		beveradb-1000
el flam	crème caramel		frase		beveradb-1000
el formatge	cheese		frase		beveradb-1000
el ganivet	knife		frase		beveradb-1000
el garatge	garage		frase		beveradb-1000
el gelat	ice cream		frase		beveradb-1000
el genoll	knee		frase		beveradb-1000
el germà	brother		frase		beveradb-1000
el got	glass		frase		beveradb-1000
el guia	guide		frase		beveradb-1000
el joc	game		frase		beveradb-1000
el licor	liquor		frase		beveradb-1000
el litre	liter		frase		beveradb-1000
el lloguer	rental fee		frase		beveradb-1000
el llum	light, lamp		frase		beveradb-1000
el mal de cap	headache		frase		beveradb-1000
el mal de ventre	stomach ache		frase		beveradb-1000
el marit	husband		frase		beveradb-1000
el matalàs	mattress		frase		beveradb-1000
el matí	morning		frase		beveradb-1000
el medicament	medicine		frase		beveradb-1000
el menjador	dining room		frase		beveradb-1000
el mes passat	last month		frase		beveradb-1000
el mes vinent	next month		frase		beveradb-1000
el metro	the metro, the subway		frase		beveradb-1000
el meu la meva	my		mot	m-f-pair	beveradb-1000
el migdia	noon		frase		beveradb-1000
el mirall	mirror		frase		beveradb-1000
el mitjà	means, way		frase		beveradb-1000
el nas	nose		frase		beveradb-1000
el noi	boy		frase		beveradb-1000
el noia	girl		frase		beveradb-1000
el nostre la nostra	our		mot	m-f-pair	beveradb-1000
el número	number		frase		beveradb-1000
el ordinador, la computadora	computer		mot	m-f-pair	beveradb-1000
el paisatge	landscape		frase		beveradb-1000
el paquet	bag		frase		beveradb-1000
el pare	father, parent		frase		beveradb-1000
el parell	couple		frase		beveradb-1000
el passadís	corridor		frase		beveradb-1000
el pastís	cake		frase		beveradb-1000
el pastís de peix	fish pie		frase		beveradb-1000
el país	country		frase		beveradb-1000
el peix	fish		frase		beveradb-1000
el peu	foot		frase		beveradb-1000
el pis	floor		frase		beveradb-1000
el piset	small apartment		frase		beveradb-1000
el pit	chest		frase		beveradb-1000
el plat	dish		frase		beveradb-1000
el pollastre	chicken		frase		beveradb-1000
el pont	bridge		frase		beveradb-1000
el porc	pig, pork		frase		beveradb-1000
el porc senglar	wild boar		frase		beveradb-1000
el portal	access, doorway, portal		frase		beveradb-1000
el pot	can, tin, jar		frase		beveradb-1000
el preu	price		frase		beveradb-1000
el préssec	peach		frase		beveradb-1000
el quilo	kilogram		frase		beveradb-1000
el quilometratge	mileage		frase		beveradb-1000
el rebedor	entrance hall		frase		beveradb-1000
el recuit	cottage cheese		frase		beveradb-1000
el refresc	soft drink		frase		beveradb-1000
el refugi de muntanya	mountain lodge		frase		beveradb-1000
el repòs	rest		frase		beveradb-1000
el règim	diet		frase		beveradb-1000
el sabó	soap		frase		beveradb-1000
el segell	postage stamp		frase		beveradb-1000
el semàfor	traffic light		frase		beveradb-1000
el senyal	signal		frase		beveradb-1000
el seu la seva	his her its their your (formal)		mot	m-f-pair	beveradb-1000
el sopar	dinner		frase		beveradb-1000
el sostre	ceiling		frase		beveradb-1000
el sou	salary		frase		beveradb-1000
el suc	juice		frase		beveradb-1000
el sucre	sugar		frase		beveradb-1000
el tallat	piece		frase		beveradb-1000
el taulell	counter		frase		beveradb-1000
el te	tea		frase		beveradb-1000
el telèfon mòbil	cell phone		frase		beveradb-1000
el tema	subject		frase		beveradb-1000
el teu la teva	your (inf-s)		mot	m-f-pair	beveradb-1000
el tovalló	napkin		frase		beveradb-1000
el trebellador	worker		frase		beveradb-1000
el tren	train		frase		beveradb-1000
el trànsit	traffic		frase		beveradb-1000
el ventre	stomach		frase		beveradb-1000
el vespre	evening		frase		beveradb-1000
el vi	wine		frase		beveradb-1000
el vi de la casa	house wine		mot	m-f-pair	beveradb-1000
el vi negre	red wine		frase		beveradb-1000
el vi rosat	rosé wine		frase		beveradb-1000
el vianant	pedestrian		frase		beveradb-1000
el viatge	journey		frase		beveradb-1000
el vinagre	vinegar		frase		beveradb-1000
el vostra la vostra	your (inf-pl)		mot	m-f-pair	beveradb-1000
el xai	lamb		frase		beveradb-1000
el xicot, la xicota	boyfriend, girlfriend		mot	m-f-pair	beveradb-1000
elaborar	to prepare		mot		beveradb-1000
elegant	well-dressed		mot		beveradb-1000
ell	he		mot		beveradb-1000
ella	she		mot		beveradb-1000
elles	they (f)		mot		beveradb-1000
ells	they (m)		mot		beveradb-1000
els	to you		mot		beveradb-1000
els afores	suburbs		frase		beveradb-1000
els calamars	fried squid		frase		beveradb-1000
els coberts	cutlery		frase		beveradb-1000
els embotits de la comarca	cured meat		frase		beveradb-1000
els escacs	chess		frase		beveradb-1000
els fruits secs	dried fruit		frase		beveradb-1000
els mitjans de comunicació	media		frase		beveradb-1000
els Països Baixos	the Netherlands		frase		beveradb-1000
els peus de porc	pig's trotters		frase		beveradb-1000
els texans	jeans		frase		beveradb-1000
em	to me		mot		beveradb-1000
em dic	my name is		frase		beveradb-1000
em fa estar	makes me feel		frase		beveradb-1000
em sap greu	I am sorry		frase		beveradb-1000
em sembla que…	it seems to me that…		frase		beveradb-1000
emprovar-se	to try on		mot		beveradb-1000
en	some		mot		beveradb-1000
en canvi	on the other hand		frase		beveradb-1000
en llenguado a la planxa	grilled sole		frase		beveradb-1000
encantat encantada	nice to meet you		frase		beveradb-1000
encara	still		mot		beveradb-1000
encara no	not yet		frase		beveradb-1000
endarrere	backwards		mot		beveradb-1000
endavant	forward		mot		beveradb-1000
endur-se	to take away		mot		beveradb-1000
enfadat enfadada	angry		frase		beveradb-1000
enfeinat enfeinada	busy		frase		beveradb-1000
enguany	this year		mot		beveradb-1000
enhorabona	congratulations		mot		beveradb-1000
ens	to us		mot		beveradb-1000
ensenyar	to teach		mot		beveradb-1000
entesos	ok		mot		beveradb-1000
entrar a la feina	to start work		frase		beveradb-1000
entre	between		mot		beveradb-1000
enviar	to send		mot		beveradb-1000
es fa el canvi	one changes		frase		beveradb-1000
escalar	to climb		mot		beveradb-1000
escocès escocèea	Scottish		frase		beveradb-1000
escollir	to choose		mot		beveradb-1000
escoltar música	to listen to music		frase		beveradb-1000
espantat espantada	frightened		frase		beveradb-1000
espanyol	Spanish		mot		beveradb-1000
esperar-se	to expect		mot		beveradb-1000
espero	I'm waiting for		mot		beveradb-1000
esquerre esquerra	left		frase		beveradb-1000
estar	to be		mot		beveradb-1000
estar al punt de + inf	to be about to		frase		beveradb-1000
estar d'acord	to agree		frase		beveradb-1000
estar marejat marejada	to feel sick		frase		beveradb-1000
estar refredat refredada	to have a cold		frase		beveradb-1000
Estats Units d'Amèrica	United States of America		frase		beveradb-1000
estatunidenc estatunidenca	US (adj.), US citizen		frase		beveradb-1000
estimar-se més	to prefer		frase		beveradb-1000
estudiar	study		mot		beveradb-1000
està bé	it's ok		frase		beveradb-1000
està casada	she is married		frase		beveradb-1000
està cobert	it's overcast		frase		beveradb-1000
està d'oferta	it's on sale		frase		beveradb-1000
està núvol	it's cloudy		frase		beveradb-1000
et	to you (inf. s.)		mot		beveradb-1000
et presento	this is (name)		frase		beveradb-1000
euro	euro		mot		beveradb-1000
fa calor	it's hot		frase		beveradb-1000
fa fred	it's cold		frase		beveradb-1000
fa fresc	it's cool		frase		beveradb-1000
fa molt de temps	a long time ago		frase		beveradb-1000
fa sol	it's sunny		frase		beveradb-1000
fa vent	it's windy		frase		beveradb-1000
fart farta	tired of		frase		beveradb-1000
fat fada	tasteless		frase		beveradb-1000
fa…	...ago		mot		beveradb-1000
febrer	February		mot		beveradb-1000
felicitats	congratulations		mot		beveradb-1000
fer anys	to have a birthday		frase		beveradb-1000
fer bondat	to behave oneself		frase		beveradb-1000
fer calor	to be hot weather		frase		beveradb-1000
fer esport	to do sports		frase		beveradb-1000
fer mal	to hurt		frase		beveradb-1000
fer mal temps	to be bad weather		frase		beveradb-1000
fer por	to frighten		frase		beveradb-1000
fer s'ho	to manage		frase		beveradb-1000
fer sol	to be sunny		frase		beveradb-1000
fer un cop d'ull	to have a look		frase		beveradb-1000
ferit ferida	injured		frase		beveradb-1000
fet feta	cooked		frase		beveradb-1000
fins a	until		frase		beveradb-1000
fins després	see you later		frase		beveradb-1000
fins I tot	even		frase		beveradb-1000
fora	outside		mot		beveradb-1000
fort forta	strong		frase		beveradb-1000
força	quite a lot		mot		beveradb-1000
fosc fosca	dark		frase		beveradb-1000
fotut fotuda	screwed up		frase		beveradb-1000
francès francesa	French		frase		beveradb-1000
fregir	to fry		mot		beveradb-1000
fumador o no fumador?	smoking or non-smoking?		frase		beveradb-1000
gener	January		mot		beveradb-1000
gens	(not) any		mot		beveradb-1000
girar	to turn		mot		beveradb-1000
gran	big, large, elder		mot		beveradb-1000
gras grassa	fat		frase		beveradb-1000
greu	serious		mot		beveradb-1000
gris grisa	grey		frase		beveradb-1000
groc groga	yellow		frase		beveradb-1000
gros grossa	big		frase		beveradb-1000
hauries de + inf	you should		frase		beveradb-1000
haver de + inf	must		frase		beveradb-1000
hi	there		mot		beveradb-1000
hi ha	there is		frase		beveradb-1000
hi ha boira	it's foggy		frase		beveradb-1000
hi ha habitacions lliures?	are there any free rooms?		frase		beveradb-1000
hi ha tempesta	it's stormy		frase		beveradb-1000
ho pots lletrejar?	can you spell it?		frase		beveradb-1000
ho sento	I am sorry		frase		beveradb-1000
hola	hello		mot		beveradb-1000
horari intensiu	long open hours		frase		beveradb-1000
i	and		mot		beveradb-1000
i tu?	and you?		frase		beveradb-1000
igualment	likewise		mot		beveradb-1000
il·limitat il·limitada	unlimited		frase		beveradb-1000
immediatament	immediately		mot		beveradb-1000
imprescindible	essential		mot		beveradb-1000
in	in		mot		beveradb-1000
inclòs inclosa	included		frase		beveradb-1000
independitzar-se	to become independent		mot		beveradb-1000
infermer infermera	nurse		frase		beveradb-1000
ingressar	to enter, to admit to a hospital, to deposit money		mot		beveradb-1000
intel·ligent	intelligent		mot		beveradb-1000
interessant	interesting		mot		beveradb-1000
irlandès	Irish		mot		beveradb-1000
italià	Italian		mot		beveradb-1000
ja	already		mot		beveradb-1000
ja estic	i've finished with it		frase		beveradb-1000
ja ho pots ben dir	you can say that again		frase		beveradb-1000
ja n'hi ha prou	that's enough		frase		beveradb-1000
ja no	no longer		frase		beveradb-1000
japonès	Japanese		mot		beveradb-1000
jo de tu	if I were you		frase		beveradb-1000
jugar	to play		mot		beveradb-1000
juliol	July		mot		beveradb-1000
juny	June		mot		beveradb-1000
justament	as it happens		mot		beveradb-1000
l'aigua (f)	water		frase	optional-part	beveradb-1000
l'aigua sense gas (f)	still water		frase	optional-part	beveradb-1000
l'aire condicionat (m)	air-conditioning		frase	optional-part	beveradb-1000
l'alimentació	food		mot		beveradb-1000
l'amanida	salad		mot		beveradb-1000
l'ampolla	bottle		mot		beveradb-1000
l'anada	outward journey		mot		beveradb-1000
l'antiquari	antique dealer		mot		beveradb-1000
l'anunci	advertisement		mot		beveradb-1000
l'any entrant	next year		frase		beveradb-1000
l'aquarel·la	watercolor		mot		beveradb-1000
l'armari	wardrobe		mot		beveradb-1000
l'arribada	arrival		mot		beveradb-1000
l'arròs	risotto		mot		beveradb-1000
l'ascensor	elevator		mot		beveradb-1000
l'autobús (m)	bus		frase	optional-part	beveradb-1000
l'autobús és més barat qie el metro.	the bus is cheaper than the metro.		frase		beveradb-1000
l'autocar	bus		mot		beveradb-1000
l'autovia	highway		mot		beveradb-1000
l'avi	grandfather		mot		beveradb-1000
l'avió (m)	plane		frase	optional-part	beveradb-1000
l'edifici (m)	building		frase	optional-part	beveradb-1000
l'empleat l'empleada	employee		frase		beveradb-1000
l'entrada	entrance		mot		beveradb-1000
l'equipatge	luggage		mot		beveradb-1000
l'escala	stairs		mot		beveradb-1000
l'escenari	stage		mot		beveradb-1000
l'església	church		mot		beveradb-1000
l'esmorzar (m)	breakfast		frase	optional-part	beveradb-1000
l'espera	wait		mot		beveradb-1000
l'esquena	back		mot		beveradb-1000
l'esquerra	left (side)		mot		beveradb-1000
l'estalvi	saving		mot		beveradb-1000
l'estanc (m)	newsstand		frase	optional-part	beveradb-1000
l'estiu	summer		mot		beveradb-1000
l'estona	short time		mot		beveradb-1000
l'experiència	experience		mot		beveradb-1000
l'exposició	exhibition		mot		beveradb-1000
l'habitació	bedroom		mot		beveradb-1000
l'hivern	winter		mot		beveradb-1000
l'home	man		mot		beveradb-1000
l'home del temps	weather man		frase		beveradb-1000
l'hotel	hotel		mot		beveradb-1000
l'incendi	fire		mot		beveradb-1000
l'obra	work		mot		beveradb-1000
l'oli d'oliva (m)	olive oil		frase	optional-part	beveradb-1000
l'oncle	uncle		mot		beveradb-1000
l'opció	option		mot		beveradb-1000
l'orella	ear		mot		beveradb-1000
l'ull	eye		mot		beveradb-1000
l'ànec	duck		mot		beveradb-1000
l'àvia	grandmother		mot		beveradb-1000
l'èxit	success		mot		beveradb-1000
la badia	bay		frase		beveradb-1000
la bestiesa	stupid thing		frase		beveradb-1000
la biblioteca	library		frase		beveradb-1000
la boca	mouth		frase		beveradb-1000
la bossa	bag		frase		beveradb-1000
la botifarra	pork sausage		frase		beveradb-1000
la butaca	armchair		frase		beveradb-1000
la bústia	mailbox		frase		beveradb-1000
la calaixera	chest of drawers		frase		beveradb-1000
la calamarsa	hail		frase		beveradb-1000
la calefacció	heating		frase		beveradb-1000
la cama	leg		frase		beveradb-1000
la cantonada	corner		frase		beveradb-1000
la carn	meat		frase		beveradb-1000
la carrera	career, race		frase		beveradb-1000
la cercavilla	street serenading		frase		beveradb-1000
la cervesa	beer		frase		beveradb-1000
la cintura	waist		frase		beveradb-1000
la classe de francès	french class		frase		beveradb-1000
la clau	key		frase		beveradb-1000
la comissaria de policia	police station		frase		beveradb-1000
la consulta	surgery		frase		beveradb-1000
la crema	cream		frase		beveradb-1000
la crema catalana	crème brulée		frase		beveradb-1000
la cuina	kitchen		frase		beveradb-1000
la cullera	spoon		frase		beveradb-1000
la demanda	request demand		frase		beveradb-1000
la direcció prohibida	one-way traffic		frase		beveradb-1000
la dona	woman		frase		beveradb-1000
la dreta	right (side)		frase		beveradb-1000
la dutxa	shower		frase		beveradb-1000
la facultat	faculty		frase		beveradb-1000
la farina	flour		frase		beveradb-1000
la farmàcia	pharmacy		frase		beveradb-1000
la feina	work		frase		beveradb-1000
la festa d'aniversari	birthday party		frase		beveradb-1000
la filial	subsidiary		frase		beveradb-1000
la filla	daughter		frase		beveradb-1000
la finestra	window		frase		beveradb-1000
la fonda	inn		frase		beveradb-1000
la forquilla	fork		frase		beveradb-1000
la gasolina sense plom	unleaded		frase		beveradb-1000
la germana	sister		frase		beveradb-1000
la grip	the flu		frase		beveradb-1000
la inauguració	opening		frase		beveradb-1000
la indicació	sign		frase		beveradb-1000
la infusió	infusion, herbal tea		frase		beveradb-1000
la infància	childhood		frase		beveradb-1000
la llauna	tin		frase		beveradb-1000
la llimona	lemon		frase		beveradb-1000
la llàstima	pity		frase		beveradb-1000
la maduixa	strawberry		frase		beveradb-1000
la majoria	majority		frase		beveradb-1000
la marca	trademark, brand		frase		beveradb-1000
la matinada	early morning		frase		beveradb-1000
la mel	honey		frase		beveradb-1000
la melmelada	marmalade		frase		beveradb-1000
la meva adreça és	my address is…		frase		beveradb-1000
la meva casa és menys cara que la seva.	my house is less expensive than theirs.		frase		beveradb-1000
la mà	hand		frase		beveradb-1000
la nata	cream		frase		beveradb-1000
la neu	snow		frase		beveradb-1000
la nit	night		frase		beveradb-1000
la paella	paella		frase		beveradb-1000
la parada	bus stop		frase		beveradb-1000
la paret	wall		frase		beveradb-1000
la part	side, part		frase		beveradb-1000
la pasta	pasta		frase		beveradb-1000
la pastilla	tablet, pill		frase		beveradb-1000
la pau	peace		frase		beveradb-1000
la pell	skin, leather		frase		beveradb-1000
la pensió	guest house		frase		beveradb-1000
la pera	pear		frase		beveradb-1000
la pintura	painting		frase		beveradb-1000
la pinya	pineapple		frase		beveradb-1000
la piscina	swimming pool		frase		beveradb-1000
la pista de tennis	tennis court		frase		beveradb-1000
la pistola	gun		frase		beveradb-1000
la platja	beach		frase		beveradb-1000
la plaça	position		frase		beveradb-1000
la pluja	rain		frase		beveradb-1000
la postal	postcard		frase		beveradb-1000
la primavera	springtime		frase		beveradb-1000
la química	chemistry		frase		beveradb-1000
la recepció	reception		frase		beveradb-1000
la renovació	renewal		frase		beveradb-1000
la rotonda	traffic circle		frase		beveradb-1000
la sala d'estar	living room		frase		beveradb-1000
la setmana passada	last week		frase		beveradb-1000
la setmana que ve	next week		frase		beveradb-1000
