ca	es	so	en	kind	risk	ca_suggested	issue	flag	source
aprimar-se	adelgazar		to lose weight	mot					beveradb-1000
apuntar-se	apuntarse	a-pun-TAR-sa	to enroll	mot	cognat				beveradb-1000
aquell / aquella	aquel / aquella		that	mot	cognat				beveradb-1000
aquest / aquesta	este / esta		this	mot					beveradb-1000
aquest pis	este piso		this floor/apartment	frase					beveradb-1000
aquí (mateix)	aquí (mismo)	ma-TEYSH	(right) here	frase				optional-part	beveradb-1000
ara	ahora		now	mot					beveradb-1000
arquitecte	el arquitecto / la arquitecta	ar-qui-TEC-ta	architect	mot	cognat	l'arquitecte / l'arquitecta	added feminine form and articles		beveradb-1000
arreglar	arreglar	a-rra-GLÁ	to fix	mot	cognat				beveradb-1000
arrissat / arrissada	rizado / rizada		curly-haired	mot			misspelling, ss for intervocalic /s/		beveradb-1000
atractiu / atractiva	atractivo / atractiva		attractive	mot	cognat				beveradb-1000
Austràlia	Australia		Australia	mot	cognat				beveradb-1000
avall	abajo		downwards	mot					beveradb-1000
avorrit / avorrida	aburrido / aburrida		boring	mot					beveradb-1000
avui	hoy	a-VUY	today	mot					beveradb-1000
aïllat / aïllada	aislado / aislada		isolated	mot	cognat				beveradb-1000
baix / baixa	bajo / baja		small	mot	cognat				beveradb-1000
baixar per	bajar por		to go down	frase					beveradb-1000
ballar	bailar	ba-LLÁ	to dance	mot					beveradb-1000
banyar-se	bañarse	ba-ÑAR-sa	to bathe	mot	cognat				beveradb-1000
barat / barata	barato / barata		cheap	mot	cognat				beveradb-1000
ben	bien / muy		very	mot					beveradb-1000
beure	beber	BÉU-ra	to drink	mot					beveradb-1000
blanc / blanca	blanco / blanca		white	mot	cognat				beveradb-1000
blau / blava	azul		blue	mot					beveradb-1000
bo / bona	bueno / buena		good	mot					beveradb-1000
bon dia	buenos días		good morning	frase					beveradb-1000
bona nit	buenas noches		good night	frase					beveradb-1000
bona tarda	buenas tardes		good afternoon	frase					beveradb-1000
boníssim / boníssima	buenísimo / buenísima		very good	mot	cognat				beveradb-1000
brut / bruta	sucio / sucia / bruto / bruta		dirty, gross (i.e. not net )	mot	fals				beveradb-1000
buscar	buscar	bus-CÁ	to look for	mot	cognat				beveradb-1000
cada	cada		each	mot	cognat				beveradb-1000
cada dia	cada día		every day	frase	cognat				beveradb-1000
caldre	ser necesario / hacer falta	CAL-dra	to be necessary, to be right	mot					beveradb-1000
calent / calenta	caliente		hot	mot	cognat		normalized m/f pair		beveradb-1000
cambrer / cambrera	el camarero / la camarera	cam-BRÉ / cam-BRÉ-ra	waiter, waitress	mot			normalized m/f pair		beveradb-1000
caminar	caminar / andar	ca-mi-NÁ	to walk	mot	cognat				beveradb-1000
Canadà	Canadá		canada	mot	cognat		proper noun, needs capitalization		beveradb-1000
cansat / cansada	cansado / cansada		tiring tired	mot	cognat		normalized m/f pair		beveradb-1000
canviar	cambiar	can-vi-Á	to change	mot	cognat				beveradb-1000
cap	ningún / ninguna		any	mot					beveradb-1000
cap a	hacia		towards	frase					beveradb-1000
capaç	capaz	ca-PÁS	able, capable	mot	cognat				beveradb-1000
car / cara	caro / cara		expensive	mot	cognat		normalized m/f pair		beveradb-1000
carter / cartera	el cartero / la cartera	car-TÉ / car-TÉ-ra	mailman	mot	cognat		normalized m/f pair		beveradb-1000
casa seva	su casa	CA-za SE-va	his house	frase					beveradb-1000
català	el catalán		Catalan	mot	cognat				beveradb-1000
catorze / catorzè	catorce / decimocuarto	ca-TOR-za / ca-tor-ZÈ	14 fourteenth	mot	cognat				beveradb-1000
caure malament	caer mal	CÁU-ra ma-la-MÉN	to be disagreeable	frase	cognat				beveradb-1000
cent / centè	cien / centésimo	SEN / sen-TÈ	100 hundredth	mot	cognat				beveradb-1000
cinc / cinquè / cinquena	cinco / quinto / quinta	SINC / sin-QUÈ / sin-QUÉ-na	5 fifth	mot	cognat		normalized m/f pair		beveradb-1000
cinquanta / cinquantè	cincuenta / quincuagésimo	sin-QUAN-ta / sin-quan-TÈ	50 fiftieth	mot	cognat		misspelling, ordinal is -è		beveradb-1000
ciutat	la ciudad	siu-TAT	city	mot	cognat				beveradb-1000
clar / clara	claro / clara		light colored	mot	cognat		normalized m/f pair		beveradb-1000
com a mínim	como mínimo		at least	frase	cognat				beveradb-1000
com estàs? / com està?	¿cómo estás? / ¿cómo está?		how are you?	frase	cognat		normalized formal/informal pair		beveradb-1000
com et dius? / com es diu?	¿cómo te llamas? / ¿cómo se llama?		what's your name?	frase			normalized formal/informal pair		beveradb-1000
com que	como / ya que		as	frase					beveradb-1000
com s'escriu això?	¿cómo se escribe esto?	com sas-CRIU a-SHÓ?	how do you write it?	frase					beveradb-1000
com s'hi va?	¿cómo se va (allí)?		how do I get there?	frase					beveradb-1000
com sempre	como siempre	com SEM-pra	as usual	frase	cognat				beveradb-1000
comarcal	comarcal	cu-mar-CAL	local district	mot	cognat				beveradb-1000
començar	empezar / comenzar	cu-man-SÁ	begin	mot	cognat				beveradb-1000
començar la feina	empezar el trabajo	cu-man-SÁ la FEY-na	to start work	frase			more idiomatic without "a"		beveradb-1000
comprar	comprar	cum-PRÁ	to buy	mot	cognat				beveradb-1000
com... no hi ha res	como... no hay nada		there's nothing like…	frase	cognat				beveradb-1000
content / contenta	contento / contenta		happy	mot	cognat		normalized m/f pair		beveradb-1000
continuar per	continuar por	cun-ti-nu-Á pa	to continue	frase	cognat				beveradb-1000
conèixer-te	conocerte	cu-NÈ-sha-ta	to meet you	mot			standard form uses hyphen		beveradb-1000
crec	creo		I believe	mot					beveradb-1000
crec que...	creo que...		I believe that…	frase	cognat				beveradb-1000
cru / crua	crudo / cruda		raw	mot	cognat		normalize m/f pair		beveradb-1000
cuit / cuita	cocido / cocida		well-cooked	mot			normalize m/f pair		beveradb-1000
curt / curta	corto / corta		short	mot	cognat		normalize m/f pair		beveradb-1000
còmode / còmoda	cómodo / cómoda		comfortable	mot	cognat		normalize m/f pair		beveradb-1000
d'acord	de acuerdo		ok	frase	cognat				beveradb-1000
d'aquí a dos dies	dentro de dos días		in two days	frase			missing accent		beveradb-1000
d'on ets?	¿de dónde eres?		where are you from?	frase					beveradb-1000
dalt	arriba / encima		above	mot					beveradb-1000
darrerament	últimamente	da-rre-ra-MÉN	lately	mot					beveradb-1000
darrere	detrás	da-RRE-ra	behind	mot					beveradb-1000
davant	delante	da-BÁN	in front	mot					beveradb-1000
de	de	da	of, from, about	mot	cognat				beveradb-1000
de bon humor	de buen humor		in a good mood	frase	cognat				beveradb-1000
de conjunt	en conjunto	cun-ZHÚN	together	frase	cognat				beveradb-1000
de debò	de verdad / en serio	da-BÒ	really	frase					beveradb-1000
de la casa	de la casa		home-made	frase	cognat				beveradb-1000
de mal humor	de mal humor		in a bad mood	frase	cognat				beveradb-1000
de petit / de petita	de pequeño / de pequeña	pa-TIT / pa-TI-ta	when I was young	frase			normalize m/f pair		beveradb-1000
de res	de nada		you're welcome	frase					beveradb-1000
de tot	de todo		of all	frase	cognat				beveradb-1000
dedicar-se	dedicarse	da-di-CAR-sa	to be occupied	mot	cognat				beveradb-1000
deixar	dejar	de-SHÁ	to leave	mot					beveradb-1000
del	del	dal	of the	mot	cognat				beveradb-1000
demà	mañana	da-MÁ	tomorrow	mot					beveradb-1000
demà passat	pasado mañana	da-MÁ pa-SAT	the day after tomorrow	frase					beveradb-1000
dependre	depender	da-PEN-dra	to depend	mot	cognat				beveradb-1000
des de	desde		since	frase	cognat				beveradb-1000
des que	desde que		since	frase	cognat				beveradb-1000
desanimat / desanimada	desanimado / desanimada	da-za-ni-MAT / da-za-ni-MA-da	discouraged	mot	cognat		normalize m/f pair		beveradb-1000
desembre	diciembre	da-ZEM-bra	December	mot					beveradb-1000
desmotivat / desmotivada	desmotivado / desmotivada	daz-mu-ti-BAT / daz-mu-ti-BA-da	dispirited	mot	cognat		normalize m/f pair		beveradb-1000
despertar-se	despertarse	das-par-TAR-sa	to wake up	mot	cognat				beveradb-1000
després	después	das-PRÉS	then	mot	cognat				beveradb-1000
deu / desè / desena	diez / décimo / décima	DEU / da-ZÈ / da-ZE-na	10 tenth	mot			normalize m/f pair		beveradb-1000
deure	deber	DEU-ra	may, might, must	mot					beveradb-1000
digui	dígame / diga		hello	mot					beveradb-1000
dijous	el jueves	di-ZHOUS	Thursday	mot					beveradb-1000
dilluns	el lunes	di-YUNS	Monday	mot					beveradb-1000
dimarts	el martes		Tuesday	mot					beveradb-1000
dimecres	el miércoles	di-ME-cras	Wednesday	mot					beveradb-1000
dinar	almorzar / comer		to have lunch	mot	fals				beveradb-1000
dinou / dinovè	diecinueve / decimonoveno		19 nineteenth	mot					beveradb-1000
dins	dentro		inside	mot					beveradb-1000
dir-se	llamarse		to be called	mot	cognat				beveradb-1000
disparar-se	desaparecer	da-za-pa-RÈ-sha	to disappear	mot		desaparèixer	Wrong word for 'disappear'.		beveradb-1000
disponible	disponible		available	mot	cognat				beveradb-1000
dissabte	el sábado	al dis-SAB-ta	Saturday	mot		el dissabte	Missing article.		beveradb-1000
disset / dissetè	diecisiete / decimoséptimo		17 seventeenth	mot					beveradb-1000
diumenge	el domingo	al diu-MEN-zha	Sunday	mot		el diumenge	Missing article.		beveradb-1000
divendres	el viernes		Sriday	mot		el divendres	Missing article.		beveradb-1000
divertit / divertida	divertido / divertida		amusing, funny	mot	cognat				beveradb-1000
divuit	dieciocho		eighteen	mot					beveradb-1000
divuit / divuitè	dieciocho / decimoctavo		18 eighteenth	mot					beveradb-1000
doncs	pues / entonces	DONS	well	mot					beveradb-1000
dormir	dormir	dur-MÍ	to sleep	mot	cognat				beveradb-1000
dos / dues / segon / segona	dos / dos / segundo / segunda		2 second	mot					beveradb-1000
dotze / dotzè	doce / duodécimo		12 twelveth	mot					beveradb-1000
dur	llevar / durar	DU	to wear out	mot					beveradb-1000
durant	durante	du-RAN	during	mot	cognat				beveradb-1000
dutxar-se	ducharse	du-CHAR-sa	to shower	mot	cognat				beveradb-1000
dòlar	el dólar		dollar	mot	cognat	el dòlar	Missing article.		beveradb-1000
econòmic / econòmica	económico / económica / barato / barata	a-cu-NO-mic / a-cu-NO-mi-ca	cheap	mot	cognat				beveradb-1000
el bany	el baño	el BAÑ	bathroom	mot	cognat				beveradb-1000
el bar	el bar		bar	mot	cognat				beveradb-1000
el barri	el barrio		neighborhood	mot	cognat				beveradb-1000
el berenar	la merienda	al ba-ra-NÁ	snack	mot	fals				beveradb-1000
el bistec	el bistec		steak	mot	cognat				beveradb-1000
el bitllet	el billete		ticket	mot	cognat				beveradb-1000
el bolet	la seta	al bu-LET	mushroom	mot					beveradb-1000
el botiguer / la botiguera	el tendero / la tendera	al bu-ti-GUÉ / la bu-ti-GUE-ra	salesman	mot				m-f-pair	beveradb-1000
el bou	el buey / la ternera		beef	mot					beveradb-1000
el braç	el brazo	el BRAS	arm	mot	cognat				beveradb-1000
el cabell	el pelo		hair	mot	fals				beveradb-1000
el cafè	el café	al ca-FÈ	coffee	mot	cognat				beveradb-1000
el cafè amb llet	el café con leche	al ca-FÈ am LLET	coffee with milk	frase	cognat				beveradb-1000
el caixer automàtic	el cajero automático	al ca-SHÉ aw-tu-MÀ-tic	atm, bank machine	frase	cognat				beveradb-1000
el camp	el campo		field	mot	cognat				beveradb-1000
el campionat	el campeonato		championship	mot	cognat				beveradb-1000
el cap de setmana	el fin de semana	al CAP da sat-MA-na	weekend	frase					beveradb-1000
el carnet d'identitat	el carné de identidad	al car-NET di-dan-ti-TAT	identity card	frase	cognat				beveradb-1000
el carnet de conduir	el carné de conducir		driving license	frase	cognat				beveradb-1000
el cava	el cava		sparkling wine	mot	cognat				beveradb-1000
el cavall	el caballo		horse	mot					beveradb-1000
el cognom	el apellido	cug-NOM	last name	mot	fals				beveradb-1000
el coll	el cuello		neck throat	mot					beveradb-1000
el colze	el codo	COL-za	elbow	mot					beveradb-1000
el compte	la cuenta	COM-ta	account	mot	fals				beveradb-1000
el conill	el conejo	cu-NILL	rabbit	mot					beveradb-1000
el cop	el golpe		knock	mot					beveradb-1000
el correu electrònic	el correo electrónico	cu-RREU a-lec-TRO-nic	email	frase	cognat				beveradb-1000
el cosí / la cosina	el primo / la prima	cu-ZÍ / la cu-ZI-na	cousin	mot				m-f-pair	beveradb-1000
el cotxe	el coche	COT-cha	car	mot	cognat				beveradb-1000
el creuer	el crucero		cruise	mot					beveradb-1000
el curs de formació	el curso de formación		training course	frase	cognat				beveradb-1000
el curset	el cursillo		short course	mot					beveradb-1000
el cèntim	el céntimo		cent	mot	cognat				beveradb-1000
el dia feiner	el día laborable		work day	frase					beveradb-1000
el diari	el periódico		newspaper	mot	fals				beveradb-1000
el dinar	la comida / el almuerzo		lunch	mot	fals				beveradb-1000
el diner	el dinero		money	mot	cognat				beveradb-1000
el dipòsit	el depósito	di-PO-zit	tank	mot	cognat				beveradb-1000
el dit	el dedo		finger	mot					beveradb-1000
el dolor	el dolor		painter	mot	cognat				beveradb-1000
el domini	el dominio	du-MI-ni	command	mot	cognat				beveradb-1000
el dret	el derecho		right (human right, etc)	mot					beveradb-1000
el fill	el hijo		son	mot					beveradb-1000
el final de tot	el final de todo		top end	frase	cognat				beveradb-1000
el flam	el flan		crème caramel	mot	cognat				beveradb-1000
el formatge	el queso	fur-MAD-zha	cheese	mot					beveradb-1000
el ganivet	el cuchillo		knife	mot					beveradb-1000
el garatge	el garaje	ga-RAD-zha	garage	mot	cognat				beveradb-1000
el gelat	el helado	zhe-LAT	ice cream	mot					beveradb-1000
el genoll	la rodilla	zha-NOLL	knee	mot	fals				beveradb-1000
el germà	el hermano	zhar-MÁ	brother	mot					beveradb-1000
el got	el vaso		glass	mot	fals				beveradb-1000
el guia	el guía		guide	mot	cognat				beveradb-1000
el joc	el juego	ZHOK	game	mot					beveradb-1000
el licor	el licor		liquor	mot	cognat				beveradb-1000
el litre	el litro	LI-tra	liter	mot	cognat				beveradb-1000
el lloguer	el alquiler	llu-GUÉ	rental fee	mot					beveradb-1000
el llum	la luz / la lámpara		light, lamp	mot	fals				beveradb-1000
el mal de cap	el dolor de cabeza		headache	frase					beveradb-1000
el mal de ventre	el dolor de barriga / el dolor de estómago		stomach ache	frase					beveradb-1000
el marit	el marido		husband	mot	cognat				beveradb-1000
el matalàs	el colchón		mattress	mot					beveradb-1000
el matí	la mañana		morning	mot	fals				beveradb-1000
el medicament	el medicamento		medicine	mot	cognat				beveradb-1000
el menjador	el comedor	man-zha-DÓ	dining room	mot					beveradb-1000
el mes passat	el mes pasado	MEZ pa-SAT	last month	frase	cognat				beveradb-1000
el mes vinent	el mes que viene / el mes próximo	MEZ bi-NÉN	next month	frase					beveradb-1000
el metro	el metro	ME-tru	the metro, the subway	mot	cognat				beveradb-1000
el meu / la meva	mi		my	mot				m-f-pair	beveradb-1000
el migdia	el mediodía		noon	mot	cognat				beveradb-1000
el mirall	el espejo	mi-RÁY	mirror	mot					beveradb-1000
el mitjà	el medio	mid-ZHÁ	means, way	mot					beveradb-1000
el nas	la nariz	NAZ	nose	mot	fals				beveradb-1000
el noi	el chico		boy	mot					beveradb-1000
la noia	la chica		girl	mot			wrong article, noia is feminine		beveradb-1000
el nostre / la nostra	nuestro / nuestra		our	mot	cognat			m-f-pair	beveradb-1000
el número	el número	NÚ-ma-ru	number	mot	cognat				beveradb-1000
l'ordinador / la computadora	el ordenador / la computadora		computer	mot	cognat		missing elision before vowel	m-f-pair	beveradb-1000
el paisatge	el paisaje	pai-ZAD-zha	landscape	mot	cognat				beveradb-1000
el paquet	el paquete		bag	mot	cognat				beveradb-1000
el pare	el padre	PA-ra	father, parent	mot					beveradb-1000
el parell	la pareja	pa-RÉY	couple	mot	fals				beveradb-1000
el passadís	el pasillo		corridor	mot					beveradb-1000
el pastís	el pastel		cake	mot					beveradb-1000
el pastís de peix	el pastel de pescado		fish pie	frase					beveradb-1000
el país	el país	pa-ÍZ	country	mot	cognat				beveradb-1000
el peix	el pescado / el pez	PEISH	fish	mot					beveradb-1000
el peu	el pie		foot	mot	cognat				beveradb-1000
el pis	el piso	PIZ	floor	mot	cognat				beveradb-1000
el piset	el pisito	pi-ZET	small apartment	mot					beveradb-1000
el pit	el pecho		chest	mot					beveradb-1000
el plat	el plato		dish	mot	cognat				beveradb-1000
el pollastre	el pollo	pu-YAS-tra	chicken	mot					beveradb-1000
el pont	el puente		bridge	mot					beveradb-1000
el porc	el cerdo / el puerco		pig, pork	mot					beveradb-1000
el porc senglar	el jabalí		wild boar	frase					beveradb-1000
el portal	el portal	pur-TAL	access, doorway, portal	mot	cognat				beveradb-1000
el pot	el bote / el tarro		can, tin, jar	mot	fals				beveradb-1000
el preu	el precio		price	mot	cognat				beveradb-1000
el préssec	el melocotón		peach	mot					beveradb-1000
el quilo	el kilo		kilogram	mot	cognat				beveradb-1000
el quilometratge	el kilometraje	qui-lu-ma-TRAD-zha	mileage	mot	cognat				beveradb-1000
el rebedor	el recibidor	rra-ba-DÓ	entrance hall	mot	cognat				beveradb-1000
el recuit	el requesón		cottage cheese	mot					beveradb-1000
el refresc	el refresco		soft drink	mot	cognat				beveradb-1000
el refugi de muntanya	el refugio de montaña	rra-FU-zhi da mun-TA-ña	mountain lodge	frase	cognat				beveradb-1000
el repòs	el reposo		rest	mot	cognat				beveradb-1000
el règim	el régimen	RÈ-zhim	diet	mot	cognat				beveradb-1000
el sabó	el jabón		soap	mot					beveradb-1000
el segell	el sello	sa-ZHÉLL	postage stamp	mot					beveradb-1000
el semàfor	el semáforo	sa-MÀ-fur	traffic light	mot	cognat				beveradb-1000
el senyal	la señal	sa-ÑAL	signal	mot	fals				beveradb-1000
el seu / la seva	su		his her its their your (formal)	mot	cognat		Normalised m/f pair	m-f-pair	beveradb-1000
el sopar	la cena		dinner	mot	fals				beveradb-1000
el sostre	el techo	SUS-tra	ceiling	mot					beveradb-1000
el sou	el sueldo		salary	mot					beveradb-1000
el suc	el zumo / el jugo		juice	mot					beveradb-1000
el sucre	el azúcar	SU-cra	sugar	mot					beveradb-1000
el tallat	el trozo / el cortado		piece	mot					beveradb-1000
el taulell	el mostrador	tau-LÉLL	counter	mot					beveradb-1000
el te	el té		tea	mot	cognat				beveradb-1000
el telèfon mòbil	el teléfono móvil		cell phone	frase	cognat				beveradb-1000
el tema	el tema		subject	mot	cognat				beveradb-1000
el teu / la teva	tu / tus		your (inf-s)	mot	cognat		Normalised m/f pair	m-f-pair	beveradb-1000
el tovalló	la servilleta	tu-ba-LLÓ	napkin	mot	fals				beveradb-1000
el treballador	el trabajador	tra-ba-lla-DÓ	worker	mot	cognat		Misspelling		beveradb-1000
el tren	el tren		train	mot	cognat				beveradb-1000
el trànsit	el tráfico	TRÀN-zit	traffic	mot	cognat				beveradb-1000
el ventre	el vientre	BEN-tra	stomach	mot	cognat				beveradb-1000
el vespre	la tarde / la noche	BES-pra	evening	mot					beveradb-1000
el vi	el vino		wine	mot	cognat				beveradb-1000
el vi de la casa	el vino de la casa		house wine	frase	cognat			m-f-pair	beveradb-1000
el vi negre	el vino tinto		red wine	frase	cognat				beveradb-1000
el vi rosat	el vino rosado	rru-ZAT	rosé wine	frase	cognat				beveradb-1000
el vianant	el peatón		pedestrian	mot	cognat				beveradb-1000
el viatge	el viaje	bi-AD-zha	journey	mot					beveradb-1000
el vinagre	el vinagre	bi-NA-gra	vinegar	mot	cognat				beveradb-1000
el vostre / la vostra	vuestro / vuestra		your (inf-pl)	mot	cognat		Normalised m/f pair.	m-f-pair	beveradb-1000
el xai	el cordero	SHAI	lamb	mot					beveradb-1000
el xicot / la xicota	el novio / la novia	shi-COT / shi-CO-ta	boyfriend, girlfriend	mot			Normalised m/f pair.	m-f-pair	beveradb-1000
elaborar	elaborar / preparar	a-la-bu-RÁ	to prepare	mot	cognat				beveradb-1000
elegant	elegante	a-la-GAN	well-dressed	mot	cognat				beveradb-1000
ell	él		he	mot	cognat				beveradb-1000
ella	ella		she	mot	cognat				beveradb-1000
elles	ellas	A-llas	they (f)	mot	cognat				beveradb-1000
ells	ellos		they (m)	mot	cognat				beveradb-1000
els	les / a ellos		to you	mot					beveradb-1000
els afores	las afueras	als-a-FO-ras	suburbs	mot	fals				beveradb-1000
els calamars	los calamares	als-ca-la-MÁS	fried squid	mot	cognat				beveradb-1000
els coberts	los cubiertos	als-cu-BERTS	cutlery	mot	cognat				beveradb-1000
els embotits de la comarca	los embutidos de la comarca	als-am-bu-TITS da-la-cu-MAR-ca	cured meat	frase	cognat				beveradb-1000
els escacs	el ajedrez	als-as-CACS	chess	mot					beveradb-1000
els fruits secs	los frutos secos		dried fruit	mot	cognat				beveradb-1000
els mitjans de comunicació	los medios de comunicación	als-mid-ZHANS da-cu-mu-ni-ca-si-Ó	media	frase	cognat				beveradb-1000
els Països Baixos	los Países Bajos	als-pa-I-zus-BAI-shus	the Netherlands	frase	cognat				beveradb-1000
