text	notes	category
Hi ha pa amb tomàquet? — No, no {{c1::n'hi ha}}.	forma negativa	nhiha
Joan Miró {{c1::treballava}} en silenci absolut al seu taller.	imperfet de treballar	imperfet
Kant {{c1::sortia}} a passejar cada dia a la mateixa hora.	imperfet de sortir	imperfet
Llegeixo Borges {{c1::perquè}} m'apassiona la metafísica.	causa	conjuncions
Llegeixo Dostoievski {{c1::mentre}} escolto música clàssica.	temps simultani	conjuncions
Llull va escriure {{c1::uns}} llibres de filosofia revolucionaris.	indef. masc. plural	articles
M'agradaria llegir Wittgenstein, {{c1::però}} encara em falta nivell.	oposició	conjuncions
Mercè Rodoreda {{c1::escrivia}} a l'exili, a Ginebra.	imperfet de escriure	imperfet
Naixement d'una criatura → {{c1::Enhorabona!}}	felicitació general	actes_socials
Nova feina o ascens → {{c1::T'ho mereixes!}}	felicitació laboral	actes_socials
Pago {{c1::amb targeta}}, gràcies.	forma de pagament	bar_frases
Per a mi un cafè, {{c1::si us plau}}.	fórmula de cortesia	bar_frases
Picasso vivia {{c1::a}} París els anys vint.	A = lloc concret	preposicions
Picasso {{c1::vivia}} a París els anys vint.	imperfet de viure	imperfet
Plou, {{c1::així que}} em quedo a casa a llegir Espriu.	conseqüència	conjuncions
Quan Ramon Llull {{c1::escrivia}} el Llibre d'amic e amat, vivia a Mallorca.	imperfet de escriure	imperfet
Quan els filòsofs medievals {{c1::pensaven}} sobre Déu, ho feien en llatí.	imperfet de pensar	imperfet
Quants quadres de Miró hi ha al museu? — {{c1::N'hi ha}} quaranta.	quantitat numèrica	nhiha
Quin és el {{c1::plat del dia}}?	demanar la recomanació	bar_frases
Ramon Llull va néixer {{c1::a}} Mallorca al segle XIII.	A = lloc concret	preposicions
Rodoreda escrivia {{c1::en}} unes condicions d'exili difícils.	EN = context	preposicions
Rodoreda va publicar {{c1::unes}} novel·les inoblidables.	indef. fem. plural	articles
Ruptura sentimental → {{c1::Ho sento per tu}}	consol	actes_socials
Salvador Espriu {{c1::publicava}} poesia en català sota la dictadura.	imperfet de publicar	imperfet
Tradueixo Sartre {{c1::perquè}} els altres ho entenguin.	finalitat (+ subj.)	conjuncions
Tàpies pintava {{c1::quan}} sentia emocions fortes.	temps	conjuncions
Vols anar al MACBA {{c1::o}} al MNAC?	alternativa	conjuncions
Vols més vermut? — Gràcies, ja {{c1::n'hi ha}} prou.	quantitat suficient	nhiha
ell/ella cant{{c1::ava}} (cantar)	1a conj. -ar	imperfet
ells dorm{{c1::ien}} (dormir)	3a	imperfet
ells/elles cant{{c1::aven}} (cantar)	1a conj. -ar	imperfet
jo cant{{c1::ava}} (cantar)	1a conj. -ar → V	imperfet
jo dorm{{c1::ia}} (dormir)	3a -ir → I	imperfet
jo perd{{c1::ia}} (perdre)	2a/3a conj. → I	imperfet
nosaltres cant{{c1::àvem}} (cantar)	1a conj. -ar	imperfet
nosaltres dorm{{c1::íem}} (dormir)	3a	imperfet
nosaltres perd{{c1::íem}} (perdre)	2a	imperfet
tu cant{{c1::aves}} (cantar)	1a conj. -ar	imperfet
tu perd{{c1::ies}} (perdre)	2a	imperfet
vosaltres cant{{c1::àveu}} (cantar)	1a conj. -ar	imperfet
{{c1::Aquella}} obra és Camí de sirga, de Jesús Moncada.	fem. sing. — llunyà	demostratius
{{c1::Aquelles}} escultures són de Joan Miró.	fem. plural — llunyà	demostratius
{{c1::Aquells}} pensaments són de Ramon Llull al segle XIII.	masc. plural — llunyà	demostratius
{{c1::Aquells}} que pinten amb materials trobats són els pintors informalistes.	masc. + que (plural)	demostratius
{{c1::Aquell}} quadre és La persistència de la memòria, de Dalí.	masc. sing. — llunyà	demostratius
{{c1::Aquell}} que escriu en català és Quim Monzó.	masc. + que (sing.)	demostratius
{{c1::Aquesta}} novel·la és Mirall trencat, de Rodoreda.	fem. sing. — proper	demostratius
{{c1::Aquestes}} pintures són d'Antoni Tàpies.	fem. plural — proper	demostratius
{{c1::Aquests}} versos són de Salvador Espriu.	masc. plural — proper	demostratius
{{c1::Aquest}} llibre és La plaça del Diamant, de Mercè Rodoreda.	masc. sing. — proper	demostratius
{{c1::Camina}} dues illes i gira a la dreta.	imperatiu de caminar	indicacions
{{c1::Com que}} avui plou, visitarem el museu en lloc de la platja.	causa al començament	conjuncions
{{c1::Encara que}} no entengui tot, llegeixo en català.	concessió	conjuncions
{{c1::Primer de tot}} llegeixo el text, {{c2::després}} faig anotacions, {{c3::finalment}} l'analitzo.	ordenar el discurs	conjuncions
{{c1::Tot junt}}, si us plau.	demanar un sol compte	bar_frases
{{c1::administratiu}} → És una tasca rutinària, organitzada i sedentària.	administrativo	feines
{{c1::bomber}} → És una professió heroica, física i molt perillosa.	bombero	feines
{{c1::cambrera}} → És un ofici ràpid, físic i sovint cansat.	camarera	feines
{{c1::dependenta}} → És una feina dinàmica, comercial i atenta.	dependienta	feines
{{c1::electricista}} → És una feina tècnica, precisa i especialitzada.	electricista	feines
{{c1::mestra}} → És una feina vocacional, exigent i molt gratificant.	maestra	feines
{{c1::metgessa}} → És una professió complexa, essencial i molt esgotadora.	médica	feines
{{c1::paleta}} → És un ofici dur, manual i molt pràctic.	albañil	feines
{{c1::perruquera}} → És una feina creativa, social i molt minuciosa.	peluquera	feines
{{c1::policia}} → És una feina arriscada, perillosa i força estressant.	policía	feines
{{c1::taxista}} → És un ofici independent, urbà i de vegades estressant.	taxista	feines
